Date,^IRX
2011-11-30,5.95193620611667e-07
2011-12-01,5.95193620611667e-07
2011-12-02,5.95193620611667e-07
2011-12-05,5.95193620611667e-07
2011-12-06,1.9840775355994822e-07
2011-12-07,1.9840775355994822e-07
2011-12-08,1.9840775355994822e-07
2011-12-09,1.9840775355994822e-07
2011-12-12,1.9840775355994822e-07
2011-12-13,1.9840775355994822e-07
2011-12-14,1.9840775355994822e-07
2011-12-15,1.9840775355994822e-07
2011-12-16,1.9840775355994822e-07
2011-12-19,1.9840775355994822e-07
2011-12-20,1.9840775355994822e-07
2011-12-21,1.9840775355994822e-07
2011-12-22,1.9840775355994822e-07
2011-12-23,1.9840775355994822e-07
2011-12-27,1.9840775355994822e-07
2011-12-28,1.9840775355994822e-07
2011-12-29,1.9840775355994822e-07
2011-12-30,1.9840775355994822e-07
2012-01-03,1.9840775355994822e-07
2012-01-04,3.968056268011111e-07
2012-01-05,3.968056268011111e-07
2012-01-06,5.95193620611667e-07
2012-01-09,1.9840775355994822e-07
2012-01-10,3.968056268011111e-07
2012-01-11,5.95193620611667e-07
2012-01-12,7.935717363238837e-07
2012-01-13,7.935717363238837e-07
2012-01-17,7.935717363238837e-07
2012-01-18,9.919400114632992e-07
2012-01-19,1.5869854355088364e-06
2012-01-20,1.5869854355088364e-06
2012-01-23,1.3886468601675972e-06
2012-01-24,1.3886468601675972e-06
2012-01-25,1.3886468601675972e-06
2012-01-26,1.7853142850743353e-06
2012-01-27,1.9836331146549924e-06
2012-01-30,1.7853142850743353e-06
2012-01-31,2.1819420727986483e-06
2012-02-01,2.1819420727986483e-06
2012-02-02,2.9750795063065993e-06
2012-02-03,2.7768098762592786e-06
2012-02-06,2.578530378549715e-06
2012-02-07,3.173338974260531e-06
2012-02-08,2.9750795063065993e-06
2012-02-09,3.3715888723140353e-06
2012-02-10,3.173338974260531e-06
2012-02-13,3.768058780329042e-06
2012-02-14,4.362689823400601e-06
2012-02-15,4.164489238123181e-06
2012-02-16,3.768058780329042e-06
2012-02-17,2.9750795063065993e-06
2012-02-21,2.7768098762592786e-06
2012-02-22,3.173338974260531e-06
2012-02-23,3.3715888723140353e-06
2012-02-24,3.569828905813921e-06
2012-02-27,3.9662790878303156e-06
2012-02-28,3.768058780329042e-06
2012-02-29,2.9750795063065993e-06
2012-03-01,2.7768098762592786e-06
2012-03-02,2.3802411603934814e-06
2012-03-05,2.3802411603934814e-06
2012-03-06,2.7768098762592786e-06
2012-03-07,2.9750795063065993e-06
2012-03-08,2.9750795063065993e-06
2012-03-09,3.173338974260531e-06
2012-03-12,2.9750795063065993e-06
2012-03-13,3.173338974260531e-06
2012-03-14,3.173338974260531e-06
2012-03-15,2.9750795063065993e-06
2012-03-16,3.173338974260531e-06
2012-03-19,2.9750795063065993e-06
2012-03-20,3.768058780329042e-06
2012-03-21,3.3715888723140353e-06
2012-03-22,2.7768098762592786e-06
2012-03-23,2.7768098762592786e-06
2012-03-26,2.7768098762592786e-06
2012-03-27,3.173338974260531e-06
2012-03-28,2.9750795063065993e-06
2012-03-29,2.1819420727986483e-06
2012-03-30,2.578530378549715e-06
2012-04-02,2.3802411603934814e-06
2012-04-03,2.9750795063065993e-06
2012-04-04,2.7768098762592786e-06
2012-04-05,2.7768098762592786e-06
2012-04-09,2.9750795063065993e-06
2012-04-10,3.3715888723140353e-06
2012-04-11,3.3715888723140353e-06
2012-04-12,3.3715888723140353e-06
2012-04-13,3.173338974260531e-06
2012-04-16,2.9750795063065993e-06
2012-04-17,2.9750795063065993e-06
2012-04-18,2.578530378549715e-06
2012-04-19,2.578530378549715e-06
2012-04-20,2.578530378549715e-06
2012-04-23,2.7768098762592786e-06
2012-04-24,3.173338974260531e-06
2012-04-25,3.3715888723140353e-06
2012-04-26,3.3715888723140353e-06
2012-04-27,3.3715888723140353e-06
2012-04-30,3.569828905813921e-06
2012-05-01,3.3715888723140353e-06
2012-05-02,3.173338974260531e-06
2012-05-03,2.9750795063065993e-06
2012-05-04,2.7768098762592786e-06
2012-05-07,2.9750795063065993e-06
2012-05-08,3.569828905813921e-06
2012-05-09,3.569828905813921e-06
2012-05-10,3.569828905813921e-06
2012-05-11,3.569828905813921e-06
2012-05-14,3.3715888723140353e-06
2012-05-15,3.569828905813921e-06
2012-05-16,3.768058780329042e-06
2012-05-17,3.569828905813921e-06
2012-05-18,2.9750795063065993e-06
2012-05-21,2.3802411603934814e-06
2012-05-22,3.3715888723140353e-06
2012-05-23,3.173338974260531e-06
2012-05-24,3.569828905813921e-06
2012-05-25,3.173338974260531e-06
2012-05-29,2.9750795063065993e-06
2012-05-30,2.578530378549715e-06
2012-05-31,2.3802411603934814e-06
2012-06-01,2.578530378549715e-06
2012-06-04,2.578530378549715e-06
2012-06-05,3.173338974260531e-06
2012-06-06,3.173338974260531e-06
2012-06-07,3.173338974260531e-06
2012-06-08,3.173338974260531e-06
2012-06-11,2.9750795063065993e-06
2012-06-12,3.569828905813921e-06
2012-06-13,3.569828905813921e-06
2012-06-14,3.768058780329042e-06
2012-06-15,3.3715888723140353e-06
2012-06-18,2.9750795063065993e-06
2012-06-19,3.569828905813921e-06
2012-06-20,3.173338974260531e-06
2012-06-21,2.9750795063065993e-06
2012-06-22,2.9750795063065993e-06
2012-06-25,2.9750795063065993e-06
2012-06-26,3.768058780329042e-06
2012-06-27,3.173338974260531e-06
2012-06-28,2.9750795063065993e-06
2012-06-29,3.173338974260531e-06
2012-07-02,2.7768098762592786e-06
2012-07-03,2.9750795063065993e-06
2012-07-05,2.9750795063065993e-06
2012-07-06,2.7768098762592786e-06
2012-07-09,2.7768098762592786e-06
2012-07-10,3.569828905813921e-06
2012-07-11,3.569828905813921e-06
2012-07-12,3.768058780329042e-06
2012-07-13,3.569828905813921e-06
